Date,Station Id,Station Name,Precipitation Increment (in),Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values,Relative Humidity (pct) Mean of Hourly Values,Solar Radiation/langley Total (langley),Precipitation Accumulation (in) Start of Day Values
2010-10-20,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-21,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-22,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-23,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-24,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-25,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-26,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-27,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-28,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-29,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-30,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-10-31,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-01,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-02,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-03,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-04,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-05,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-06,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-07,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-08,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-09,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-10,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-11,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-12,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-13,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-14,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-15,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-16,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-17,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-18,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-19,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-20,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-21,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-22,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-23,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-24,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-25,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-26,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-27,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-28,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-29,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-11-30,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-01,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-02,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-03,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-04,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-05,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-06,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-07,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-08,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-09,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-10,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-11,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-12,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-13,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-14,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-15,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-16,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-17,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-18,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-19,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-20,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-21,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-22,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-23,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-24,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-25,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-26,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-27,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-28,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-29,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-30,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2010-12-31,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-01,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-02,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-03,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-04,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-05,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-06,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-07,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-08,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-09,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-10,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-11,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-12,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-13,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-14,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-15,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-16,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-17,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-18,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-19,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-20,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-21,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-22,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-23,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-24,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-25,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-26,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-27,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-28,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-29,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-30,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-01-31,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-01,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-02,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-03,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-04,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-05,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-06,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-07,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-08,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-09,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-10,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-11,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-12,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-13,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-14,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-15,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-16,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-17,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-18,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-19,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-20,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-21,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-22,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-23,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-24,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-25,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-26,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-27,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-02-28,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-01,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-02,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-03,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-04,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-05,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-06,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-07,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-08,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-09,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-10,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-11,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-12,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-13,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-14,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-15,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-16,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-17,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-18,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-19,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-20,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-21,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-22,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-23,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-24,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-25,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-26,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-27,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-28,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-29,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-30,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-03-31,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-01,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-02,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-03,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-04,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-05,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-06,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-07,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-08,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-09,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-10,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-11,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-12,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-13,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-14,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-15,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-16,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-17,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-18,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-19,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-20,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-21,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-22,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-23,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-24,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-25,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-26,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-27,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-28,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-29,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-04-30,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-01,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-02,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-03,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-04,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-05,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-06,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-07,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-08,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-09,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-10,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-11,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-12,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-13,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-14,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-15,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-16,2057,AAMU-JTG,,,,,,,,,,,,,,,,,
2011-05-17,2057,AAMU-JTG,,,,,29.7,24.0,33.1,39.7,38.4,64,65,65,64,62,70,,
2011-05-18,2057,AAMU-JTG,0.00,55,65,42,28.7,24.2,33.0,39.6,38.3,63,64,64,63,62,75,428.00,43.0
2011-05-19,2057,AAMU-JTG,0.00,63,78,47,26.5,23.9,32.8,39.6,38.2,67,67,66,63,62,71,631.30,43.0
2011-05-20,2057,AAMU-JTG,0.00,71,87,54,23.7,23.4,32.3,39.5,38.1,70,71,69,64,62,63,687.00,43.0
2011-05-21,2057,AAMU-JTG,0.00,75,88,60,20.8,22.9,31.9,39.5,38.0,73,74,71,65,62,66,628.00,43.0
2011-05-22,2057,AAMU-JTG,0.32,76,89,63,23.5,26.0,31.5,39.5,37.9,74,74,72,67,62,76,534.60,43.0
2011-05-23,2057,AAMU-JTG,0.00,77,87,71,26.0,27.8,31.5,39.5,37.8,74,75,73,67,63,67,496.50,43.3
2011-05-24,2057,AAMU-JTG,0.00,78,87,68,22.7,25.9,31.3,39.4,37.7,75,76,74,68,63,66,541.70,43.3
2011-05-25,2057,AAMU-JTG,0.09,79,88,65,19.8,24.2,31.0,39.2,37.6,76,77,75,69,64,61,627.40,43.3
2011-05-26,2057,AAMU-JTG,0.37,70,81,62,30.9,30.6,31.2,39.0,37.6,74,74,74,69,64,78,369.90,43.4
2011-05-27,2057,AAMU-JTG,0.00,65,77,57,27.7,28.6,31.6,38.9,37.5,73,74,73,69,64,77,601.40,43.8
2011-05-28,2057,AAMU-JTG,0.00,74,89,54,23.4,26.6,31.5,38.7,37.4,74,75,73,69,65,66,676.50,43.8
2011-05-29,2057,AAMU-JTG,0.00,79,92,65,19.8,24.5,31.3,38.4,37.3,77,78,76,70,65,63,676.90,43.8
2011-05-30,2057,AAMU-JTG,0.00,80,92,67,17.2,22.5,30.9,38.0,37.3,79,79,77,71,65,69,637.50,43.8
2011-05-31,2057,AAMU-JTG,0.00,80,93,68,15.4,20.5,30.5,37.4,37.1,79,80,78,72,65,68,649.60,43.8
2011-06-01,2057,AAMU-JTG,0.00,80,92,67,14.1,18.5,29.7,36.8,37.0,79,80,78,72,66,71,657.50,43.8
2011-06-02,2057,AAMU-JTG,0.00,81,95,68,13.3,17.0,28.7,36.2,37.0,80,81,78,73,66,70,636.50,43.8
2011-06-03,2057,AAMU-JTG,0.00,80,94,68,12.6,16.0,28.0,35.6,36.8,80,81,79,73,67,70,651.30,43.8
2011-06-04,2057,AAMU-JTG,0.00,79,91,66,12.1,15.1,27.4,35.0,36.4,79,80,78,73,67,73,543.90,43.8
2011-06-05,2057,AAMU-JTG,0.00,78,93,67,11.9,14.5,26.6,34.4,36.3,79,80,78,73,67,72,521.80,43.8
2011-06-06,2057,AAMU-JTG,0.00,78,93,66,11.6,14.0,25.9,33.9,36.0,79,80,78,73,68,66,677.20,43.8
2011-06-07,2057,AAMU-JTG,0.00,81,94,66,11.3,13.6,25.5,33.2,35.8,80,81,79,74,68,63,662.00,43.8
2011-06-08,2057,AAMU-JTG,0.00,81,95,65,11.0,13.2,25.1,32.8,35.4,80,81,79,74,68,59,628.90,43.8
2011-06-09,2057,AAMU-JTG,0.00,81,94,66,10.7,12.9,24.4,32.3,35.0,81,82,79,74,68,60,680.50,43.8
2011-06-10,2057,AAMU-JTG,0.00,81,94,67,10.4,12.6,23.8,31.8,34.4,81,82,80,74,69,60,658.90,43.8
2011-06-11,2057,AAMU-JTG,0.00,81,94,67,10.3,12.4,23.3,31.4,33.8,81,82,80,75,69,61,635.50,43.8
2011-06-12,2057,AAMU-JTG,0.00,80,92,67,10.0,12.1,22.8,31.0,33.0,81,82,80,75,69,58,672.80,43.8
2011-06-13,2057,AAMU-JTG,0.00,78,89,65,9.8,12.0,22.2,30.6,32.5,81,82,80,75,69,67,593.50,43.8
2011-06-14,2057,AAMU-JTG,0.00,77,88,63,9.6,11.7,21.8,30.4,32.4,80,82,80,75,69,64,608.80,43.8
2011-06-15,2057,AAMU-JTG,0.17,78,95,63,9.8,11.6,21.5,30.3,32.5,79,80,79,75,70,65,440.80,43.8
2011-06-16,2057,AAMU-JTG,0.00,76,92,60,11.8,11.6,21.4,30.2,32.5,80,80,79,75,70,66,693.10,44.0
2011-06-17,2057,AAMU-JTG,0.51,71,80,66,23.2,19.6,21.3,30.2,32.5,77,78,78,75,70,86,336.50,44.0
2011-06-18,2057,AAMU-JTG,0.00,75,91,65,20.3,18.2,21.3,30.2,32.6,78,79,78,74,70,78,483.50,44.5
2011-06-19,2057,AAMU-JTG,0.00,82,94,66,17.2,16.3,21.5,30.1,32.6,81,82,80,74,70,66,659.90,44.5
2011-06-20,2057,AAMU-JTG,0.02,83,92,70,14.7,15.4,21.6,30.3,32.6,83,84,81,75,70,63,642.00,44.5
2011-06-21,2057,AAMU-JTG,1.12,77,90,69,18.7,18.9,25.1,30.3,32.6,81,81,81,76,70,78,357.80,44.5
2011-06-22,2057,AAMU-JTG,0.43,72,84,68,28.7,26.3,32.8,30.4,32.7,78,79,78,76,71,87,302.00,45.6
2011-06-23,2057,AAMU-JTG,0.00,78,88,70,28.0,26.3,34.1,30.5,32.7,80,81,79,75,71,79,493.50,46.0
2011-06-24,2057,AAMU-JTG,0.07,74,88,66,27.0,24.6,33.1,30.7,32.7,80,80,80,76,71,84,228.00,46.0
2011-06-25,2057,AAMU-JTG,0.00,76,90,64,26.4,24.2,32.4,30.9,32.7,80,81,79,76,71,76,620.70,46.1
2011-06-26,2057,AAMU-JTG,0.21,73,89,65,26.8,23.7,32.4,31.0,32.6,80,81,80,76,71,84,422.90,46.1
2011-06-27,2057,AAMU-JTG,0.00,79,93,65,27.6,24.0,32.8,31.1,32.7,82,82,80,76,71,75,593.40,46.3
2011-06-28,2057,AAMU-JTG,1.26,70,76,65,30.9,28.8,36.1,34.6,32.8,76,77,78,76,71,90,153.40,46.3
2011-06-29,2057,AAMU-JTG,0.00,73,85,63,29.5,27.2,36.0,39.9,32.8,78,79,78,75,71,76,634.00,47.6
2011-06-30,2057,AAMU-JTG,0.00,74,89,61,27.2,25.8,35.4,39.9,32.7,80,81,79,76,71,72,713.00,47.6
2011-07-01,2057,AAMU-JTG,0.00,78,93,64,25.2,24.8,35.0,39.8,32.8,82,83,81,76,71,65,673.10,47.6
2011-07-02,2057,AAMU-JTG,0.00,78,93,65,23.5,24.0,34.8,39.7,32.7,83,84,82,77,71,68,687.10,47.6
2011-07-03,2057,AAMU-JTG,0.00,80,94,65,22.1,23.4,34.5,39.6,32.7,84,85,83,77,72,67,675.40,47.6
2011-07-04,2057,AAMU-JTG,0.00,79,92,69,21.1,22.8,34.3,39.6,32.8,84,85,84,78,72,72,563.90,47.6
2011-07-05,2057,AAMU-JTG,0.05,76,86,69,20.6,22.2,33.8,39.6,32.8,82,83,82,78,72,81,433.10,47.6
2011-07-06,2057,AAMU-JTG,0.55,77,86,69,24.6,24.9,35.3,39.5,32.8,82,83,82,78,72,82,488.70,47.6
2011-07-07,2057,AAMU-JTG,0.00,76,85,70,28.0,26.4,36.3,39.7,32.9,81,81,81,78,73,85,327.80,48.2
2011-07-08,2057,AAMU-JTG,0.06,76,88,69,27.5,25.4,35.6,39.8,32.9,80,80,80,78,73,85,303.10,48.2
2011-07-09,2057,AAMU-JTG,0.00,79,91,71,27.2,25.2,35.5,39.9,32.9,83,83,82,77,73,80,554.70,48.2
2011-07-10,2057,AAMU-JTG,0.47,79,91,72,28.3,26.9,36.2,40.0,32.9,82,83,82,78,73,85,352.10,48.2
2011-07-11,2057,AAMU-JTG,0.01,84,96,74,29.5,28.0,37.4,40.9,32.9,85,86,83,78,73,75,636.80,48.7
2011-07-12,2057,AAMU-JTG,0.00,81,93,73,27.4,26.2,36.9,41.4,32.9,85,86,85,79,73,79,395.00,48.7
2011-07-13,2057,AAMU-JTG,0.00,81,90,71,25.9,25.3,36.3,41.3,33.0,84,85,84,80,74,81,460.70,48.7
2011-07-14,2057,AAMU-JTG,1.92,82,95,71,26.7,26.3,36.8,41.6,33.0,85,86,85,80,74,75,639.10,48.7
2011-07-15,2057,AAMU-JTG,0.02,76,84,71,29.9,27.9,37.2,42.2,48.8,80,81,82,80,74,86,226.00,50.6
2011-07-16,2057,AAMU-JTG,0.00,75,82,70,28.0,26.5,36.3,42.0,47.8,80,80,81,79,75,78,395.20,50.7
2011-07-17,2057,AAMU-JTG,0.00,78,88,70,26.0,25.8,35.7,41.8,44.6,83,83,82,78,75,70,618.60,50.7
2011-07-18,2057,AAMU-JTG,0.00,79,91,67,24.1,25.0,35.4,41.8,42.5,84,85,83,79,74,69,629.60,50.7
2011-07-19,2057,AAMU-JTG,0.00,82,91,69,22.6,24.3,35.1,41.8,41.9,86,87,85,80,75,72,592.00,50.7
2011-07-20,2057,AAMU-JTG,0.00,83,93,72,21.5,23.7,34.7,41.7,41.5,87,88,86,80,75,73,562.70,50.7
2011-07-21,2057,AAMU-JTG,0.11,77,84,72,21.2,22.9,34.1,41.6,41.0,83,84,84,81,75,88,178.40,50.7
2011-07-22,2057,AAMU-JTG,0.00,82,93,72,22.0,22.9,34.2,41.5,40.7,85,85,84,80,75,74,575.90,50.8
2011-07-23,2057,AAMU-JTG,0.00,81,93,71,21.0,22.6,34.4,41.6,40.4,86,86,85,80,75,74,535.90,50.8
2011-07-24,2057,AAMU-JTG,0.00,80,89,75,20.2,22.1,34.1,41.5,40.2,85,86,85,81,75,79,383.30,50.8
2011-07-25,2057,AAMU-JTG,0.00,81,90,76,19.6,21.6,33.7,41.5,40.1,84,85,84,81,76,79,382.70,50.8
2011-07-26,2057,AAMU-JTG,0.00,81,93,71,19.1,21.2,33.5,41.4,40.0,87,88,86,81,76,72,644.70,50.8
2011-07-27,2057,AAMU-JTG,0.00,83,96,70,18.4,20.6,33.4,41.4,39.8,88,89,86,81,76,69,647.70,50.8
2011-07-28,2057,AAMU-JTG,0.00,82,92,72,17.6,20.1,33.7,41.3,39.6,87,88,87,82,76,71,499.90,50.8
2011-07-29,2057,AAMU-JTG,0.00,80,90,73,16.8,19.6,33.5,41.3,39.5,86,86,86,82,76,75,406.70,50.8
2011-07-30,2057,AAMU-JTG,1.11,76,84,73,22.7,25.0,36.0,41.9,41.7,82,82,83,82,76,89,192.70,50.8
2011-07-31,2057,AAMU-JTG,0.00,81,92,72,25.6,26.5,37.0,42.4,45.2,85,85,83,80,77,80,567.50,51.9
2011-08-01,2057,AAMU-JTG,0.00,81,92,72,23.1,25.2,36.5,42.1,42.4,86,87,85,81,76,75,629.60,51.9
2011-08-02,2057,AAMU-JTG,0.00,82,95,69,21.3,24.2,36.0,42.0,41.6,86,87,86,81,76,71,591.80,51.9
2011-08-03,2057,AAMU-JTG,0.67,85,100,69,20.4,23.4,35.6,42.0,41.3,87,88,86,82,77,65,628.00,51.9
2011-08-04,2057,AAMU-JTG,0.41,75,83,70,28.9,29.1,38.2,42.7,46.7,81,82,83,82,77,87,213.50,52.6
2011-08-05,2057,AAMU-JTG,0.00,80,89,72,26.6,26.6,36.8,42.4,42.4,83,83,83,81,77,81,358.10,53.0
2011-08-06,2057,AAMU-JTG,0.00,79,89,73,24.9,25.6,36.3,42.1,41.5,82,83,83,80,77,83,289.70,53.0
2011-08-07,2057,AAMU-JTG,0.00,82,93,72,23.4,24.8,35.9,42.0,41.0,85,85,84,80,77,75,502.10,53.0
2011-08-08,2057,AAMU-JTG,1.40,76,93,70,25.5,26.4,36.7,42.3,42.4,82,83,83,81,77,82,404.20,53.0
2011-08-09,2057,AAMU-JTG,0.29,76,86,69,29.8,28.8,37.9,42.8,46.1,80,81,81,80,77,84,343.00,54.4
2011-08-10,2057,AAMU-JTG,0.00,79,90,68,27.1,26.9,36.8,42.3,41.5,83,83,82,80,77,76,572.00,54.7
2011-08-11,2057,AAMU-JTG,0.00,77,86,69,24.7,25.8,36.2,42.1,40.9,81,82,82,80,77,80,394.30,54.7
2011-08-12,2057,AAMU-JTG,0.00,78,89,68,23.1,25.0,35.5,41.9,40.5,82,82,82,80,77,76,565.10,54.7
